"indicator_id","indicator_name"
"DP.DOD.DLIN.CR.L1.BC.Z1","Gross PSD, Budgetary Central Gov., Long-term, With payment due in one year or less, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
"DP.DOD.DLIN.CR.L1.CG.Z1","Gross PSD, Central Gov., Long-term, With payment due in one year or less, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
"DP.DOD.DLIN.CR.L1.FC.Z1","Gross PSD, Financial Public Corp., Long-term, With payment due in one year or less, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
"DP.DOD.DLIN.CR.L1.GG.Z1","Gross PSD, General Gov., Long-term, With payment due in one year or less, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
"DP.DOD.DLIN.CR.L1.NF.Z1","Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in one year or less, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
"DP.DOD.DLIN.CR.M1.BC.Z1","Gross PSD, Budgetary Central Gov., Long-term, With payment due in more than one year, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
"DP.DOD.DLIN.CR.M1.CG.Z1","Gross PSD, Central Gov., Long-term, With payment due in more than one year, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
"DP.DOD.DLIN.CR.M1.FC.Z1","Gross PSD, Financial Public Corp., Long-term, With payment due in more than one year, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
"DP.DOD.DLIN.CR.M1.GG.Z1","Gross PSD, General Gov., Long-term, With payment due in more than one year, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
"DP.DOD.DLIN.CR.M1.NF.Z1","Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in more than one year, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
"DP.DOD.DLIN.CR.NF.Z1","Gross PSD, Nonfinancial Public Corp., All maturities, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
"DP.DOD.DLLO.CR.BC.Z1","Gross PSD, Budgetary Central Gov., All maturities, Loans, Nominal Value, % of GDP"
"DP.DOD.DLLO.CR.CG.Z1","Gross PSD, Central Gov., All maturities, Loans, Nominal Value, % of GDP"
"DP.DOD.DLLO.CR.FC.Z1","Gross PSD, Financial Public Corp., All maturities, Loans, Nominal Value, % of GDP"
"DP.DOD.DLLO.CR.GG.Z1","Gross PSD, General Gov., All maturities, Loans, Nominal Value, % of GDP"
"DP.DOD.DLLO.CR.L1.BC.Z1","Gross PSD, Budgetary Central Gov., Long-term, With payment due in one year or less, Loans, Nominal Value, % of GDP"
"DP.DOD.DLLO.CR.L1.CG.Z1","Gross PSD, Central Gov., Long-term, With payment due in one year or less, Loans, Nominal Value, % of GDP"
