"flow_id","code","code_name"
"IRFCL","IRFCLDT1_IRFCL41_USD","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Other foreign currency assets, other"
"IRFCL","IRFCLDT1_IRFCL41_XDC","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Other foreign currency assets, other"
"IRFCL","IRFCLDT1_IRFCL42_USD","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Other foreign currency assets, securities not included in official reserve assets"
"IRFCL","IRFCLDT1_IRFCL42_XDC","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Other foreign currency assets, securities not included in official reserve assets"
"IRFCL","IRFCLDT1_IRFCL43_USD","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Other foreign currency assets, deposits not included in official reserve assets"
"IRFCL","IRFCLDT1_IRFCL43_XDC","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Other foreign currency assets, deposits not included in official reserve assets"
"IRFCL","IRFCLDT1_IRFCL54_USD","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Official reserve assets and other foreign currency assets"
"IRFCL","IRFCLDT1_IRFCL54_XDC","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Official reserve assets and other foreign currency assets"
"IRFCL","IRFCLDT1_IRFCL56_USD","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Official reserve assets, gold (including gold deposits and if appropriate gold swapped)"
"IRFCL","IRFCLDT1_IRFCL56_XDC","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Official reserve assets, gold (including gold deposits and if appropriate gold swapped)"
"IRFCL","IRFCLDT1_IRFCL57_USD","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Official reserve assets IMF reserve position"
"IRFCL","IRFCLDT1_IRFCL57_XDC","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Official reserve assets IMF reserve position"
"IRFCL","IRFCLDT1_IRFCL58_USD","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Official reserve assets other reserve assets,"
"IRFCL","IRFCLDT1_IRFCL58_XDC","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Official reserve assets other reserve assets,"
"IRFCL","IRFCLDT1_IRFCL59_USD","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Official reserve assets, financial derivatives"
"IRFCL","IRFCLDT1_IRFCL59_XDC","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Official reserve assets, financial derivatives"
"IRFCL","IRFCLDT1_IRFCL60_USD","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Official reserve assets, loans to non bank nonresidents"
"IRFCL","IRFCLDT1_IRFCL60_XDC","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Official reserve assets, loans to non bank nonresidents"
"IRFCL","IRFCLDT1_IRFCL61_USD","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Official reserve assets, other"
"IRFCL","IRFCLDT1_IRFCL61_XDC","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Official reserve assets, other"
"IRFCL","IRFCLDT1_IRFCL64_USD","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Official reserve assets, securities of which: issuer headquartered in reporting country but located abroad"
